Opening file bronze.res
Reading brzatk01.cpc ...
Reading brzatk02.cpc ...
Reading brzatk03.cpc ...
Reading brzatk04.cpc ...
Reading brzatk05.cpc ...
Reading brzatk06.cpc ...
Reading brzatk07.cpc ...
Reading brzatk08.cpc ...
Reading brzatk09.cpc ...
Reading brzatk10.cpc ...
Reading brzatk11.cpc ...
Reading brzatk12.cpc ...
Reading brzatk13.cpc ...
Reading brzatk14.cpc ...
Reading brzatk15.cpc ...
Reading brzatk16.cpc ...
Reading dedbz01.cpc ...
Reading dedbz02.cpc ...
Reading dedbz03.cpc ...
Reading dedbz04.cpc ...
Reading dedbz29.cpc ...
Reading dedbz30.cpc ...
Reading dedbz31.cpc ...
Reading dedbz32.cpc ...
Reading dedbz25.cpc ...
Reading dedbz26.cpc ...
Reading dedbz27.cpc ...
Reading dedbz28.cpc ...
Reading dedbz21.cpc ...
Reading dedbz22.cpc ...
Reading dedbz23.cpc ...
Reading dedbz24.cpc ...
Reading dedbz17.cpc ...
Reading dedbz18.cpc ...
Reading dedbz19.cpc ...
Reading dedbz20.cpc ...
Reading dedbz13.cpc ...
Reading dedbz14.cpc ...
Reading dedbz15.cpc ...
Reading dedbz16.cpc ...
Reading dedbz09.cpc ...
Reading dedbz10.cpc ...
Reading dedbz11.cpc ...
Reading dedbz12.cpc ...
Reading dedbz05.cpc ...
Reading dedbz06.cpc ...
Reading dedbz07.cpc ...
Reading dedbz08.cpc ...
Reading bronz01.cpc ...
Reading bronz02.cpc ...
Reading bronz03.cpc ...
Reading bronz04.cpc ...
Reading bronz05.cpc ...
Reading bronz06.cpc ...
Reading bronz07.cpc ...
Reading bronz08.cpc ...
Reading bronz09.cpc ...
Reading bronz10.cpc ...
Reading bronz11.cpc ...
Reading bronz12.cpc ...
Reading bronz13.cpc ...
Reading bronz14.cpc ...
Reading bronz15.cpc ...
Reading bronz16.cpc ...
Reading bronz17.cpc ...
Reading bronz18.cpc ...
Reading bronz19.cpc ...
Reading bronz20.cpc ...
Reading bronz21.cpc ...
Reading bronz22.cpc ...
Reading bronz23.cpc ...
Reading bronz24.cpc ...
Reading bronz25.cpc ...
Reading bronz26.cpc ...
Reading bronz27.cpc ...
Reading bronz28.cpc ...
Reading bronz29.cpc ...
Reading bronz30.cpc ...
Reading bronz31.cpc ...
Reading bronz32.cpc ...
Reading bronz33.cpc ...
Reading bronz34.cpc ...
Reading bronz35.cpc ...
Reading bronz36.cpc ...
Reading bronz37.cpc ...
Reading bronz38.cpc ...
Reading bronz39.cpc ...
Reading bronz40.cpc ...
Reading bronz41.cpc ...
Reading bronz42.cpc ...
Reading bronz43.cpc ...
Reading bronz44.cpc ...
Reading bronz45.cpc ...
Reading bronz46.cpc ...
Reading bronz47.cpc ...
Reading bronz48.cpc ...
Reading bronze.oaf ...
Reading bronze.oaf ...
Total:  98 indexes
