Opening file CHEST001.res
Reading RATCST15.CPC ...
Reading RATCST16.CPC ...
Reading RATCST13.CPC ...
Reading RATCST14.CPC ...
Reading RATCST11.CPC ...
Reading RATCST12.CPC ...
Reading RATCST09.CPC ...
Reading RATCST10.CPC ...
Reading RATCST07.CPC ...
Reading RATCST08.CPC ...
Reading RATCST05.CPC ...
Reading RATCST06.CPC ...
Reading RATCST03.CPC ...
Reading RATCST04.CPC ...
Reading RATCST01.CPC ...
Reading RATCST02.CPC ...
Reading RWKCST43.CPC ...
Reading RWKCST44.CPC ...
Reading RWKCST45.CPC ...
Reading RWKCST46.CPC ...
Reading RWKCST47.CPC ...
Reading RWKCST48.CPC ...
Reading RWKCST37.CPC ...
Reading RWKCST38.CPC ...
Reading RWKCST39.CPC ...
Reading RWKCST40.CPC ...
Reading RWKCST41.CPC ...
Reading RWKCST42.CPC ...
Reading RWKCST31.CPC ...
Reading RWKCST32.CPC ...
Reading RWKCST33.CPC ...
Reading RWKCST34.CPC ...
Reading RWKCST35.CPC ...
Reading RWKCST36.CPC ...
Reading RWKCST25.CPC ...
Reading RWKCST26.CPC ...
Reading RWKCST27.CPC ...
Reading RWKCST28.CPC ...
Reading RWKCST29.CPC ...
Reading RWKCST30.CPC ...
Reading RWKCST19.CPC ...
Reading RWKCST20.CPC ...
Reading RWKCST21.CPC ...
Reading RWKCST22.CPC ...
Reading RWKCST23.CPC ...
Reading RWKCST24.CPC ...
Reading RWKCST13.CPC ...
Reading RWKCST14.CPC ...
Reading RWKCST15.CPC ...
Reading RWKCST16.CPC ...
Reading RWKCST17.CPC ...
Reading RWKCST18.CPC ...
Reading RWKCST07.CPC ...
Reading RWKCST08.CPC ...
Reading RWKCST09.CPC ...
Reading RWKCST10.CPC ...
Reading RWKCST11.CPC ...
Reading RWKCST12.CPC ...
Reading RWKCST01.CPC ...
Reading RWKCST02.CPC ...
Reading RWKCST03.CPC ...
Reading RWKCST04.CPC ...
Reading RWKCST05.CPC ...
Reading RWKCST06.CPC ...
Reading RDICHT29.CPC ...
Reading RDICHT30.CPC ...
Reading RDICHT31.CPC ...
Reading RDICHT32.CPC ...
Reading RDICHT25.CPC ...
Reading RDICHT26.CPC ...
Reading RDICHT27.CPC ...
Reading RDICHT28.CPC ...
Reading RDICHT21.CPC ...
Reading RDICHT22.CPC ...
Reading RDICHT23.CPC ...
Reading RDICHT24.CPC ...
Reading RDICHT17.CPC ...
Reading RDICHT18.CPC ...
Reading RDICHT19.CPC ...
Reading RDICHT20.CPC ...
Reading RDICHT13.CPC ...
Reading RDICHT14.CPC ...
Reading RDICHT15.CPC ...
Reading RDICHT16.CPC ...
Reading RDICHT09.CPC ...
Reading RDICHT10.CPC ...
Reading RDICHT11.CPC ...
Reading RDICHT12.CPC ...
Reading RDICHT05.CPC ...
Reading RDICHT06.CPC ...
Reading RDICHT07.CPC ...
Reading RDICHT08.CPC ...
Reading RDICHT01.CPC ...
Reading RDICHT02.CPC ...
Reading RDICHT03.CPC ...
Reading RDICHT04.CPC ...
Reading CHEST001.oaf ...
Total:  97 indexes
