Opening file LARM001.res
Reading RATLAM15.CPC ...
Reading RATLAM16.CPC ...
Reading RATLAM13.CPC ...
Reading RATLAM14.CPC ...
Reading RATLAM11.CPC ...
Reading RATLAM12.CPC ...
Reading RATLAM09.CPC ...
Reading RATLAM10.CPC ...
Reading RATLAM07.CPC ...
Reading RATLAM08.CPC ...
Reading RATLAM05.CPC ...
Reading RATLAM06.CPC ...
Reading RATLAM03.CPC ...
Reading RATLAM04.CPC ...
Reading RATLAM01.CPC ...
Reading RATLAM02.CPC ...
Reading RWKLAM43.CPC ...
Reading RWKLAM44.CPC ...
Reading RWKLAM45.CPC ...
Reading RWKLAM46.CPC ...
Reading RWKLAM47.CPC ...
Reading RWKLAM48.CPC ...
Reading RWKLAM37.CPC ...
Reading RWKLAM38.CPC ...
Reading RWKLAM39.CPC ...
Reading RWKLAM40.CPC ...
Reading RWKLAM41.CPC ...
Reading RWKLAM42.CPC ...
Reading RWKLAM31.CPC ...
Reading RWKLAM32.CPC ...
Reading RWKLAM33.CPC ...
Reading RWKLAM34.CPC ...
Reading RWKLAM35.CPC ...
Reading RWKLAM36.CPC ...
Reading RWKLAM25.CPC ...
Reading RWKLAM26.CPC ...
Reading RWKLAM27.CPC ...
Reading RWKLAM28.CPC ...
Reading RWKLAM29.CPC ...
Reading RWKLAM30.CPC ...
Reading RWKLAM19.CPC ...
Reading RWKLAM20.CPC ...
Reading RWKLAM21.CPC ...
Reading RWKLAM22.CPC ...
Reading RWKLAM23.CPC ...
Reading RWKLAM24.CPC ...
Reading RWKLAM13.CPC ...
Reading RWKLAM14.CPC ...
Reading RWKLAM15.CPC ...
Reading RWKLAM16.CPC ...
Reading RWKLAM17.CPC ...
Reading RWKLAM18.CPC ...
Reading RWKLAM07.CPC ...
Reading RWKLAM08.CPC ...
Reading RWKLAM09.CPC ...
Reading RWKLAM10.CPC ...
Reading RWKLAM11.CPC ...
Reading RWKLAM12.CPC ...
Reading RWKLAM01.CPC ...
Reading RWKLAM02.CPC ...
Reading RWKLAM03.CPC ...
Reading RWKLAM04.CPC ...
Reading RWKLAM05.CPC ...
Reading RWKLAM06.CPC ...
Reading RDILAR29.CPC ...
Reading RDILAR30.CPC ...
Reading RDILAR31.CPC ...
Reading RDILAR32.CPC ...
Reading RDILAR25.CPC ...
Reading RDILAR26.CPC ...
Reading RDILAR27.CPC ...
Reading RDILAR28.CPC ...
Reading RDILAR21.CPC ...
Reading RDILAR22.CPC ...
Reading RDILAR23.CPC ...
Reading RDILAR24.CPC ...
Reading RDILAR17.CPC ...
Reading RDILAR18.CPC ...
Reading RDILAR19.CPC ...
Reading RDILAR20.CPC ...
Reading RDILAR13.CPC ...
Reading RDILAR14.CPC ...
Reading RDILAR15.CPC ...
Reading RDILAR16.CPC ...
Reading RDILAR09.CPC ...
Reading RDILAR10.CPC ...
Reading RDILAR11.CPC ...
Reading RDILAR12.CPC ...
Reading RDILAR05.CPC ...
Reading RDILAR06.CPC ...
Reading RDILAR07.CPC ...
Reading RDILAR08.CPC ...
Reading RDILAR01.CPC ...
Reading RDILAR02.CPC ...
Reading RDILAR03.CPC ...
Reading RDILAR04.CPC ...
Reading larm001.oaf ...
Total:  97 indexes
