Opening file LLEG001.res
Reading RATLLG15.CPC ...
Reading RATLLG16.CPC ...
Reading RATLLG13.CPC ...
Reading RATLLG14.CPC ...
Reading RATLLG11.CPC ...
Reading RATLLG12.CPC ...
Reading RATLLG09.CPC ...
Reading RATLLG10.CPC ...
Reading RATLLG07.CPC ...
Reading RATLLG08.CPC ...
Reading RATLLG05.CPC ...
Reading RATLLG06.CPC ...
Reading RATLLG03.CPC ...
Reading RATLLG04.CPC ...
Reading RATLLG01.CPC ...
Reading RATLLG02.CPC ...
Reading WKLLG43.CPC ...
Reading WKLLG44.CPC ...
Reading WKLLG45.CPC ...
Reading WKLLG46.CPC ...
Reading WKLLG47.CPC ...
Reading WKLLG48.CPC ...
Reading WKLLG37.CPC ...
Reading WKLLG38.CPC ...
Reading WKLLG39.CPC ...
Reading WKLLG40.CPC ...
Reading WKLLG41.CPC ...
Reading WKLLG42.CPC ...
Reading WKLLG31.CPC ...
Reading WKLLG32.CPC ...
Reading WKLLG33.CPC ...
Reading WKLLG34.CPC ...
Reading WKLLG35.CPC ...
Reading WKLLG36.CPC ...
Reading WKLLG25.CPC ...
Reading WKLLG26.CPC ...
Reading WKLLG27.CPC ...
Reading WKLLG28.CPC ...
Reading WKLLG29.CPC ...
Reading WKLLG30.CPC ...
Reading WKLLG19.CPC ...
Reading WKLLG20.CPC ...
Reading WKLLG21.CPC ...
Reading WKLLG22.CPC ...
Reading WKLLG23.CPC ...
Reading WKLLG24.CPC ...
Reading WKLLG13.CPC ...
Reading WKLLG14.CPC ...
Reading WKLLG15.CPC ...
Reading WKLLG16.CPC ...
Reading WKLLG17.CPC ...
Reading WKLLG18.CPC ...
Reading WKLLG07.CPC ...
Reading WKLLG08.CPC ...
Reading WKLLG09.CPC ...
Reading WKLLG10.CPC ...
Reading WKLLG11.CPC ...
Reading WKLLG12.CPC ...
Reading WKLLG01.CPC ...
Reading WKLLG02.CPC ...
Reading WKLLG03.CPC ...
Reading WKLLG04.CPC ...
Reading WKLLG05.CPC ...
Reading WKLLG06.CPC ...
Reading RDILLG29.CPC ...
Reading RDILLG30.CPC ...
Reading RDILLG31.CPC ...
Reading RDILLG32.CPC ...
Reading RDILLG25.CPC ...
Reading RDILLG26.CPC ...
Reading RDILLG27.CPC ...
Reading RDILLG28.CPC ...
Reading RDILLG21.CPC ...
Reading RDILLG22.CPC ...
Reading RDILLG23.CPC ...
Reading RDILLG24.CPC ...
Reading RDILLG17.CPC ...
Reading RDILLG18.CPC ...
Reading RDILLG19.CPC ...
Reading RDILLG20.CPC ...
Reading RDILLG13.CPC ...
Reading RDILLG14.CPC ...
Reading RDILLG15.CPC ...
Reading RDILLG16.CPC ...
Reading RDILLG09.CPC ...
Reading RDILLG10.CPC ...
Reading RDILLG11.CPC ...
Reading RDILLG12.CPC ...
Reading RDILLG05.CPC ...
Reading RDILLG06.CPC ...
Reading RDILLG07.CPC ...
Reading RDILLG08.CPC ...
Reading RDILLG01.CPC ...
Reading RDILLG02.CPC ...
Reading RDILLG03.CPC ...
Reading RDILLG04.CPC ...
Reading LLEG001.oaf ...
Total:  97 indexes
