Opening file SHIELD02.res
Reading plh01.cpc ...
Reading plh02.cpc ...
Reading plh03.cpc ...
Reading plh04.cpc ...
Reading plh05.cpc ...
Reading plh06.cpc ...
Reading plh07.cpc ...
Reading plh08.cpc ...
Reading plh09.cpc ...
Reading plh10.cpc ...
Reading plh11.cpc ...
Reading plh12.cpc ...
Reading plh13.cpc ...
Reading plh14.cpc ...
Reading plh15.cpc ...
Reading plh16.cpc ...
Reading plh17.cpc ...
Reading plh18.cpc ...
Reading plh19.cpc ...
Reading plh20.cpc ...
Reading plh21.cpc ...
Reading plh22.cpc ...
Reading plh23.cpc ...
Reading plh24.cpc ...
Reading plh25.cpc ...
Reading plh26.cpc ...
Reading plh27.cpc ...
Reading plh28.cpc ...
Reading plh29.cpc ...
Reading plh30.cpc ...
Reading plh31.cpc ...
Reading plh32.cpc ...
Reading plh33.cpc ...
Reading plh34.cpc ...
Reading plh35.cpc ...
Reading plh36.cpc ...
Reading plh37.cpc ...
Reading plh38.cpc ...
Reading plh39.cpc ...
Reading plh40.cpc ...
Reading plh41.cpc ...
Reading plh42.cpc ...
Reading plh43.cpc ...
Reading plh44.cpc ...
Reading plh45.cpc ...
Reading plh46.cpc ...
Reading plh47.cpc ...
Reading plh48.cpc ...
Reading plh49.cpc ...
Reading plh50.cpc ...
Reading plh51.cpc ...
Reading plh52.cpc ...
Reading plh53.cpc ...
Reading plh54.cpc ...
Reading plh55.cpc ...
Reading plh56.cpc ...
Reading plh57.cpc ...
Reading plh58.cpc ...
Reading plh59.cpc ...
Reading plh60.cpc ...
Reading plh61.cpc ...
Reading plh62.cpc ...
Reading plh63.cpc ...
Reading plh64.cpc ...
Reading shield02.oaf ...
Total:  65 indexes
